,imgt,tenx,adaptive,adaptive_v2
153,TRAV6*02,TRAV6,TCRAV06*02,TCRAV06*02
154,TRAV6*03,TRAV6,TCRAV06*03,TCRAV06*03
155,TRAV6*04,TRAV6,TCRAV06*04,TCRAV06*04
156,TRAV6*05,TRAV6,TCRAV06*05,TCRAV06*05
157,TRAV6*06,TRAV6,TCRAV06*06,TCRAV06*06
158,TRAV6*07,TRAV6,TCRAV06*07,TCRAV06*07
159,TRAV7*01,TRAV7,TCRAV07*01,TCRAV07*01
160,TRAV8-1*01,TRAV8-1,TCRAV08-01*01,TCRAV08-01*01
161,TRAV8-1*02,TRAV8-1,TCRAV08-01*02,TCRAV08-01*02
162,TRAV8-2*01,TRAV8-2,TCRAV08-02*01,TCRAV08-02*01
163,TRAV8-2*02,TRAV8-2,TCRAV08-02*02,TCRAV08-02*02
164,TRAV8-2*03,TRAV8-2,TCRAV08-02*03,TCRAV08-02*03
165,TRAV8-3*01,TRAV8-3,TCRAV08-03*01,TCRAV08-03*01
166,TRAV8-3*02,TRAV8-3,TCRAV08-03*02,TCRAV08-03*02
167,TRAV8-3*03,TRAV8-3,TCRAV08-03*03,TCRAV08-03*03
168,TRAV8-4*01,TRAV8-4,TCRAV08-04*01,TCRAV08-04*01
169,TRAV8-4*02,TRAV8-4,TCRAV08-04*02,TCRAV08-04*02
170,TRAV8-4*03,TRAV8-4,TCRAV08-04*03,TCRAV08-04*03
171,TRAV8-4*04,TRAV8-4,TCRAV08-04*04,TCRAV08-04*04
172,TRAV8-4*05,TRAV8-4,TCRAV08-04*05,TCRAV08-04*05
173,TRAV8-4*06,TRAV8-4,TCRAV08-04*06,TCRAV08-04*06
174,TRAV8-4*07,TRAV8-4,TCRAV08-04*07,TCRAV08-04*07
175,TRAV8-6*01,TRAV8-6,TCRAV08-06*01,TCRAV08-06*01
176,TRAV8-6*02,TRAV8-6,TCRAV08-06*02,TCRAV08-06*02
177,TRAV8-7*01,TRAV8-7,TCRAV08-07*01,TCRAV08-07*01
178,TRAV8-7*02,TRAV8-7,TCRAV08-07*02,TCRAV08-07*02
179,TRAV9-1*01,TRAV9-1,TCRAV09-01*01,TCRAV09-01*01
180,TRAV9-2*01,TRAV9-2,TCRAV09-02*01,TCRAV09-02*01
181,TRAV9-2*02,TRAV9-2,TCRAV09-02*02,TCRAV09-02*02
182,TRAV9-2*03,TRAV9-2,TCRAV09-02*03,TCRAV09-02*03
183,TRAV9-2*04,TRAV9-2,TCRAV09-02*04,TCRAV09-02*04
184,TRBJ1-1*01,TRBJ1-1,TCRBJ01-01*01,TCRBJ01-01*01
185,TRBJ1-2*01,TRBJ1-2,TCRBJ01-02*01,TCRBJ01-02*01
186,TRBJ1-3*01,TRBJ1-3,TCRBJ01-03*01,TCRBJ01-03*01
187,TRBJ1-4*01,TRBJ1-4,TCRBJ01-04*01,TCRBJ01-04*01
188,TRBJ1-5*01,TRBJ1-5,TCRBJ01-05*01,TCRBJ01-05*01
189,TRBJ1-6*01,TRBJ1-6,TCRBJ01-06*01,TCRBJ01-06*01
190,TRBJ1-6*02,TRBJ1-6,TCRBJ01-06*02,TCRBJ01-06*02
191,TRBJ2-1*01,TRBJ2-1,TCRBJ02-01*01,TCRBJ02-01*01
192,TRBJ2-2*01,TRBJ2-2,TCRBJ02-02*01,TCRBJ02-02*01
193,TRBJ2-2P*01,TRBJ2-2P,TCRBJ02-02P*01,TCRBJ02-02P*01
194,TRBJ2-3*01,TRBJ2-3,TCRBJ02-03*01,TCRBJ02-03*01
195,TRBJ2-4*01,TRBJ2-4,TCRBJ02-04*01,TCRBJ02-04*01
196,TRBJ2-5*01,TRBJ2-5,TCRBJ02-05*01,TCRBJ02-05*01
197,TRBJ2-6*01,TRBJ2-6,TCRBJ02-06*01,TCRBJ02-06*01
198,TRBJ2-7*01,TRBJ2-7,TCRBJ02-07*01,TCRBJ02-07*01
199,TRBJ2-7*02,TRBJ2-7,TCRBJ02-07*02,TCRBJ02-07*02
200,TRBV1*01,TRBV1,TCRBV01*01,TCRBV01*01
201,TRBV10-1*01,TRBV10-1,TCRBV10-01*01,TCRBV10-01*01
202,TRBV10-1*02,TRBV10-1,TCRBV10-01*02,TCRBV10-01*02
203,TRBV10-2*01,TRBV10-2,TCRBV10-02*01,TCRBV10-02*01
204,TRBV10-2*02,TRBV10-2,TCRBV10-02*02,TCRBV10-02*02
205,TRBV10-3*01,TRBV10-3,TCRBV10-03*01,TCRBV10-03*01
206,TRBV10-3*02,TRBV10-3,TCRBV10-03*02,TCRBV10-03*02
207,TRBV10-3*03,TRBV10-3,TCRBV10-03*03,TCRBV10-03*03
208,TRBV10-3*04,TRBV10-3,TCRBV10-03*04,TCRBV10-03*04
209,TRBV11-1*01,TRBV11-1,TCRBV11-01*01,TCRBV11-01*01
210,TRBV11-2*01,TRBV11-2,TCRBV11-02*01,TCRBV11-02*01
211,TRBV11-2*02,TRBV11-2,TCRBV11-02*02,TCRBV11-02*02
212,TRBV11-2*03,TRBV11-2,TCRBV11-02*03,TCRBV11-02*03
213,TRBV11-3*01,TRBV11-3,TCRBV11-03*01,TCRBV11-03*01
